Потребитель,well_name
580,580
"576""В""","576""В"""
468,468
428,428
434,434
459,459
469,469
458,458
515,515
449,449
625,625
1500,1500
1506,1506
1508,1508
627,627
1501,1501
1503,1503
скв.36,36
"скв. 44""В""","44""В"""
Скв.№183Р,№183Р
Р-211,Р-211
215р,215р
3780,3780
3781,3781
3702,3702
3703,3703
3742,3742
470,470
1756,1756
571,571
581,581
572,572
573,573
582,582
"20""В""","20""В"""
2522,2522
3707,3707
204,204
"37 ""В""","37 ""В"""
3,3
3829,3829
3817,3817
473,473
475,475
474,474
621,621
533,533
494,494
637,637
673,673
820,820
679,679
626,626
477,477
492,492
502,502
460,460
467,467
466,466
3821,3821
3820,3820
209,209
201,201
509,509
415,415
489,489
498,498
171,171
скв.170,170
скв.163,163
скв.166,166
скв.164,164
172,172
Скв. 1927,1927
Скв. 1920,1920
скв. 1930,1930
Скв. 1923,1923
1900,1900
1911,1911
1902,1902
1903,1903
1971,1971
1907,1907
1113,1113
2307,2307
2303,2303
2306,2306
2304,2304
2310,2310
4301,4301
43В,43В
6002,6002
6004,6004
5999,5999
3631,3631
3633,3633
3632,3632
3630,3630
661,661
4606,4606
4600,4600
2309,2309
2300,2300
2308,2308
2301,2301
410,410
402,402
400,400
409,409
401,401
420,420
6003,6003
6005,6005
44В,44В
6001,6001
3635,3635
662,662
663,663
1513,1513
скв.4634,4634
4631,4631
4620,4620
4630,4630
525,525
513,513
653,653
4632,4632
4622,4622
4626,4626
4633,4633
4629,4629
686,686
680,680
9403,9403
2742,2742
9401,9401
9404,9404
9402,9402
53,53
56,56
629,629
76,76
540,540
40,40
487,487
961,961
961,961
961,961
968,968
968,968
968,968
969,969
969,969
969,969
962,962
962,962
962,962
61,61
65,65
80,80
70,70
84,84
скв.529,529
скв.527,527
613,613
62,62
1974,1974
1978,1978
87,87
"4 ""В""","4 ""В"""
39,39
537,537
549,549
60,60
85,85
71,71
38,38
68,68
485,485
483,483
66,66
256Р,256Р
484,484
"1 ""В""","1 ""В"""
738,738
738,738
739,739
739,739
736,736
736,736
977,977
980,980
976,976
682,682
688,688
684,684
685,685
1921,1921
1925,1925
1926,1926
1922,1922
1924,1924
1112,1112
1111,1111
720,720
720,720
5983,5983
5983,5983
718,718
718,718
721,721
721,721
711,711
711,711
719,719
719,719
4304,4304
4302,4302
4308,4308
1745,1745
1744,1744
3190,3190
974,974
Резерв,Резерв
Резерв,Резерв
Резерв,Резерв
Резерв,Резерв
Скв. 1017,1017
Скв. 1017,1017
1078,1078
1078,1078
1028,1028
1028,1028
1080,1080
1080,1080
966,966
959,959
952,952
963,963
971,971
1814,1814
1814,1814
1813,1813
1813,1813
676,676
676,676
2631,2631
2631,2631
677,677
677,677
4550,4550
4550,4550
3270,3270
3270,3270
1574,1574
1574,1574
3117,3117
3117,3117
944,944
946,946
942,942
943,943
716,716
716,716
750,750
750,750
769,769
769,769
786,786
786,786
705,705
705,705
191,191
734,734
196,196
ШЩ 4х60,ШЩ 4х60
1816,1816
1816,1816
1815,1815
1815,1815
2630,2630
2630,2630
4532,4532
4532,4532
3269,3269
3269,3269
1817,1817
1817,1817
3112,3112
3112,3112
1493,1493
1493,1493
3116,3116
3116,3116
3113,3113
3113,3113
3115,3115
3115,3115
3106,3106
3106,3106
скв.4221,4221
скв.376,376
скв.1466,1466
скв.1223,1223
скв.39 В,39 В
скв.4181,4181
1259,1259
"7 ""В""","7 ""В"""
120,120
"670 ""В""","670 ""В"""
"670 ""В""","670 ""В"""
3266,3266
3266,3266
4549,4549
4549,4549
271,271
280,280
276,276
132,132
133,133
135,135
714,714
714,714
128,128
134,134
951,951
949,949
955,955
948,948
922 В,922 В
1280,1280
1206,1206
938,938
939,939
933,933
180,180
188,188
105,105
934,934
707,707
707,707
765,765
765,765
771,771
771,771
751,751
751,751
781,781
781,781
710,710
710,710
706,706
706,706
768,768
768,768
764,764
764,764
760,760
760,760
766,766
766,766
 скв.5985, 5985
скв.5984,5984
1334,1334
1385,1385
727,727
1383,1383
198,198
192,192
731,731
199,199
901,901
908,908
909,909
1523,1523
137,137
154,154
1544,1544
153,153
162,162
138,138
1552,1552
4222,4222
4223,4223
310,310
315,315
309,309
1480,1480
3098,3098
294,294
3118,3118
3118,3118
3108,3108
3108,3108
1579,1579
1579,1579
Резерв,Резерв
Резерв,Резерв
4235,4235
4235,4235
1320,1320
125,125
1366,1366
131,131
386,386
395,395
382,382
4101,4101
БСК,БСК
451,451
1082,1082
1004,1004
915В,915В
2780,2780
2788,2788
723,723
скв.770,770
725,725
906,906
897,897
911,911
1521,1521
158,158
146,146
149,149
151,151
1742,1742
1551,1551
1470,1470
1549,1549
1468,1468
1230,1230
2931,2931
311,311
1228,1228
3058,3058
1221В,1221В
4100,4100
1304,1304
2818,2818
924,924
450,450
3786,3786
588,588
2688,2688
748,748
743,743
2790,2790
2781,2781
2787,2787
9406,9406
2744,2744
2743,2743
2746,2746
772,772
772,772
763,763
763,763
713,713
713,713
758,758
758,758
1386,1386
773,773
761,761
729,729
195,195
148,148
194,194
142,142
124,124
8В,8В
123,123
1344,1344
1220,1220
1220,1220
775,775
775,775
717,717
717,717
755,755
755,755
1291,1291
1291,1291
762,762
762,762
141,141
1562,1562
р.173,р.173
1367,1367
