,aliasName,name
0,Отметка о выводе из эксплуатации,Decommissioning
1,01) № сетевого района,NetworkAreaNumber
2,02) Месторождение,DepositName
3,03) Контрагент,Контрагент
4,"04) цднг, цех",цднг_цех
5,05) Подразделение,Division
6,06) Оборудование,Equipment
7,"07) Источник питания,Объект",PowerSupplyObjectName
8,"08) ПС, РУ, КТП, КТПН",Object
9,09) Оперативное наименование по схемам,AliasName
10,10) Тип (марка),Type
11,11) Uном,NomPower
12,"12) Наименование потребителя,№ фидера",ConnectorsName
13,13) Куст,WellCluster
14,14) Скважина,Well
15,"15) Сечение, мм2",Section_mm2
16,"16) Мощность (кВт), ток (А), длина (км)",PowerCurrentLength
17,"17) Количество оборудования, шт",Amount
18,18) Взрывозащищенность,ExplosionProof
19,19) Год ввода,YearOfEntry
20,Последний ремонт 20) К,
21,Последний ремонт 20) К.1,
22,Т 21) Т,
23,Т Дата следующего Т,
24,"Т Периодичность Т, дней",
25,"Т Периодичность УО, дней",
26,ТО 22) ТО,
27,ТО Дата следующего ТО,
28,"ТО Периодичность ТО, дней",MaintenanceInterval
29,20) Потери,Loss
