Подразделение,Электроустановка,Подразделение_num,type,primitiveName,node_name
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Абазаров
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Рынковой
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",10,РУ 6 кВ,eeRu,ЭЦ ГПЭС-1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Кузьмин
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Абазаров
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Кузьмин
с/р №10,РУ 6 кВ ДНС-1,10,РУ 6 кВ,eeRu,ДНС-1
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Рынковой
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)",9,ПС 35/6 кВ,eeSubstation,Салманов
с/р №9,КРУН 6 кВ ДНС-2,9,КРУН 6 кВ,eeKrun,ДНС-2
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",9,ПС 35/6 кВ,eeSubstation,Норкин
с/р №9,РУ 6 кВ ДНС-2,9,РУ 6 кВ,eeRu,ДНС-2
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",9,ПС 35/6 кВ,eeSubstation,Норкин
с/р №9,КРУ 6кВ ГТЭС ДНС-2,9,КРУ 6кВ,eeKru,ГТЭС ДНС-2
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)",9,ПС 35/6 кВ,eeSubstation,Салманов
